epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
134,100808,0.88565,0.97431,1.07735,0.81859,0.70548,0.78633,0.62228,0.8263,0.73243,0.95969,0.001222,0.001222,0.001222
135,101559,0.88214,0.96946,1.07696,0.81997,0.70653,0.78764,0.6236,0.825,0.72931,0.95873,0.001156,0.001156,0.001156
136,102309,0.88377,0.96894,1.07385,0.82059,0.70798,0.78884,0.62486,0.82341,0.72597,0.95755,0.00109,0.00109,0.00109
137,103060,0.87627,0.95621,1.07278,0.8221,0.70885,0.79008,0.62614,0.82186,0.72269,0.95648,0.001024,0.001024,0.001024
138,103811,0.87269,0.94806,1.06902,0.8232,0.70979,0.79128,0.62747,0.82041,0.71944,0.95544,0.000958,0.000958,0.000958
139,104562,0.87165,0.94231,1.06887,0.82546,0.71027,0.79257,0.62886,0.81904,0.71605,0.95444,0.000892,0.000892,0.000892
140,105308,0.86761,0.93676,1.06696,0.82698,0.71117,0.79375,0.63015,0.81768,0.71274,0.95339,0.000826,0.000826,0.000826
141,106084,0.86766,0.82531,1.04366,0.82774,0.71263,0.79502,0.63142,0.81623,0.70943,0.95231,0.00076,0.00076,0.00076
142,106834,0.8605,0.80349,1.04004,0.82962,0.71353,0.79631,0.63268,0.81474,0.70602,0.95128,0.000694,0.000694,0.000694
143,107585,0.85199,0.79218,1.0339,0.8306,0.71505,0.79766,0.63429,0.81327,0.70252,0.95025,0.000628,0.000628,0.000628
144,108338,0.85008,0.78196,1.0301,0.83139,0.71631,0.79887,0.63556,0.81175,0.69896,0.94905,0.000562,0.000562,0.000562
145,109090,0.84418,0.77226,1.02851,0.8319,0.71842,0.80024,0.63698,0.81021,0.69534,0.94787,0.000496,0.000496,0.000496
146,109840,0.83868,0.7602,1.02464,0.8331,0.71976,0.80146,0.6384,0.80864,0.69176,0.94672,0.00043,0.00043,0.00043
147,110590,0.83834,0.75706,1.02592,0.8353,0.72049,0.80267,0.63968,0.80713,0.68807,0.94563,0.000364,0.000364,0.000364
148,111342,0.83242,0.74946,1.0243,0.83713,0.72118,0.80389,0.64106,0.80569,0.68453,0.9445,0.000298,0.000298,0.000298
149,112094,0.83111,0.74243,1.02122,0.83731,0.72271,0.80513,0.6424,0.8043,0.681,0.9434,0.000232,0.000232,0.000232
150,112845,0.82519,0.73382,1.01672,0.83794,0.72429,0.80624,0.64371,0.80297,0.6776,0.94243,0.000166,0.000166,0.000166
